team,elo_rating
Argentina,1987.728553297154
Spain,1984.6844164650054
France,1938.625091176372
Brazil,1927.80677960783
Colombia,1923.337662168603
England,1890.266741973289
Portugal,1875.7975978722006
Netherlands,1853.8591342503746
Uruguay,1847.4744361898963
Italy,1847.317812668908
Germany,1838.8076888603662
Croatia,1838.180412784458
Senegal,1834.532696531531
Ecuador,1833.355714509737
Belgium,1825.517739867533
Japan,1809.9378727435972
Switzerland,1806.7057968492988
South Korea,1796.4728929559467
Morocco,1794.1272158773766
Denmark,1791.0892636583058
Iran,1790.3747999038633
Mexico,1773.3629601884356
Turkey,1769.3668007678828
Algeria,1766.0156108707645
Australia,1761.589784394547
Canada,1761.263553045111
Paraguay,1760.5876843550438
Ukraine,1748.6230368607055
Austria,1742.7572888168918
Norway,1740.9165804826273
Russia,1738.7723822503308
Serbia,1736.0063164223327
Yugoslavia,1732.5754933073963
Chile,1725.7569694646247
United States,1725.063775096638
Jersey,1724.4612902508343
Venezuela,1716.1497339064356
Nigeria,1711.3154243580577
Egypt,1710.073085180316
Uzbekistan,1709.6992361571688
Poland,1706.8810055398778
Panama,1705.1615857532745
Peru,1702.571721098765
Czech Republic,1701.0055620555897
Greece,1697.8173696492129
Tunisia,1697.3029498369613
Basque Country,1695.2480563417027
Czechoslovakia,1692.701008341056
Ivory Coast,1692.6541597995385
Scotland,1689.05137202272
Sweden,1686.6681627607054
Guernsey,1673.879905623233
German DR,1673.4948954820136
Wales,1672.4607060626238
Cameroon,1671.9181262867035
Hungary,1671.6530697680028
Slovenia,1670.0335889278142
Costa Rica,1669.164007913869
Iraq,1657.3624948927584
Jordan,1657.105450244582
Mali,1654.5255716874178
Burkina Faso,1647.426466340063
Slovakia,1646.496478166629
DR Congo,1643.2489376131239
New Zealand,1637.9326380592468
Ireland,1634.3561263126603
Saudi Arabia,1632.1368535338868
Isle of Man,1625.053128095386
Romania,1622.7349248709422
Ynys Môn,1620.503797806887
South Africa,1617.1103721350557
Cape Verde,1613.8673073387565
Jamaica,1613.1199737223794
Ghana,1610.0304510505234
Kosovo,1605.6378091992374
Padania,1603.7448252376075
Haiti,1601.7989824165377
Honduras,1599.8839428732165
United Arab Emirates,1598.8237439083712
Georgia,1595.0707261712253
Bolivia,1594.946552270289
Albania,1589.422814441971
Occitania,1587.3245319563891
Isle of Wight,1586.9237816277182
Catalonia,1585.4182900812345
Oman,1584.2389023650062
New Caledonia,1579.8438026911995
Guatemala,1579.3811046649223
Iceland,1577.0713491077681
Bosnia and Herzegovina,1576.010614678542
Northern Cyprus,1575.4608784424397
Israel,1575.0356461529057
North Macedonia,1563.922976150573
Iraqi Kurdistan,1563.7562338669443
Qatar,1563.512188818953
Guinea,1562.5327007332367
Northern Ireland,1561.923534760348
Andalusia,1559.8908564834765
Kernow,1553.2587114869675
Réunion,1550.579662810823
Abkhazia,1548.6611120122818
County of Nice,1546.068444485683
Finland,1545.3543053605017
Angola,1544.3405163583022
Kárpátalja,1543.8614040082673
Rhodes,1543.4586126044862
Syria,1540.6768880830102
Ellan Vannin,1537.524878299867
Zambia,1536.3628811864119
Libya,1535.7954561809556
Tahiti,1533.9840317481585
Panjab,1532.8382040890933
Gabon,1531.8857946162036
Arameans Suryoye,1531.4908391705444
Suriname,1530.5176687576698
Yorkshire,1530.0402113831105
Corsica,1529.7915256792503
Thailand,1527.4933653379135
Cascadia,1527.0296770681045
Maule Sur,1525.0546695700991
Trinidad and Tobago,1524.92273864257
Menorca,1523.0596536106498
Palestine,1521.749329343302
Artsakh,1521.5036584086886
North Korea,1520.426736713737
Crimea,1519.0894708014757
Uganda,1518.180603563566
Chameria,1516.8098513336824
Galicia,1516.7693689333892
Felvidék,1514.6685707644328
China PR,1514.0551259040428
Asturias,1513.3178709372953
Surrey,1511.9350807363373
Bahrain,1511.5737771638683
Curaçao,1511.1323518412273
Matabeleland,1510.55418233541
Brittany,1509.0703627330174
Franconia,1508.8390745635024
Biafra,1508.0876653487283
Benin,1507.489155871325
Donetsk PR,1507.3962289499113
Parishes of Jersey,1506.761231619123
Elba Island,1505.3110836637777
Gambia,1504.8574795897405
Tamil Eelam,1504.2297677601166
Canary Islands,1503.638773846228
Guadeloupe,1501.7523441828823
Bulgaria,1501.665024896502
Zanzibar,1500.5054977433642
Central Spain,1500.3669376095977
Western Armenia,1498.7233534435827
Saugeais,1496.7583763142927
Martinique,1496.7510402821563
Shetland,1496.2105218075155
West Papua,1495.122400080551
Luhansk PR,1495.0589592892024
Vietnam,1494.9697433626286
Mapuche,1494.7403219249172
Montenegro,1493.1997114317062
Délvidék,1493.0269498824484
Cilento,1492.5946515364017
North Vietnam,1492.2330382197188
Sealand,1492.0598989416387
Kabylia,1491.0306573574305
Monaco,1490.9758389022766
Western Australia,1490.7948287804713
Fiji,1490.2494513063195
Hmong,1490.1310488437882
United Koreans in Japan,1489.9333310142094
Silesia,1489.2996839018697
Somaliland,1488.93691565232
Belarus,1488.5305563393185
Madrid,1488.526135111166
Western Sahara,1488.5214373262443
South Yemen,1487.5908567076237
Ryūkyū,1486.6535221777033
Seborga,1486.644068502343
South Ossetia,1485.6810493240444
Mozambique,1484.5260121980907
Yoruba Nation,1484.2121253921268
Kenya,1484.0546365586417
Chechnya,1483.3185477037819
Malaysia,1481.5845199519201
El Salvador,1481.130621422474
Aymara,1480.2050085049837
Székely Land,1479.428995548827
Western Isles,1479.0243801791144
Åland Islands,1478.5260247272586
Niue,1478.444673589051
Romani people,1478.4295612347737
Solomon Islands,1478.1609622575006
Two Sicilies,1478.0073011808572
Gozo,1477.6534469991707
Ticino,1476.6366385809695
Republic of St. Pauli,1476.3704699604705
Zimbabwe,1476.2013128411484
Mayotte,1473.448352624361
Papua New Guinea,1470.1968400148687
Palau,1469.2012231809529
Marshall Islands,1468.6476813049342
Vietnam Republic,1468.4572288696972
Togo,1467.7741420619507
Ambazonia,1467.1733707319704
Vanuatu,1466.9043887735754
Malawi,1465.6240012475089
Găgăuzia,1465.5726421544316
Sark,1465.2394846599802
Kuwait,1465.2176831952597
Manchukuo,1465.189276587497
Sierra Leone,1461.4911410532134
Comoros,1460.7774858712698
Equatorial Guinea,1460.693043496117
Guyana,1459.5648587991368
Lebanon,1459.4108891225867
Vatican City,1458.8738844102238
Greenland,1457.7562854377584
Sudan,1457.5966649404077
Provence,1457.5607701844676
Madagascar,1457.5195154874168
Sápmi,1456.1681306475691
Saarland,1456.1044416526058
Yemen DPR,1456.0849327971614
Nicaragua,1455.6732868382098
Tajikistan,1455.3257710643643
Saint Barthélemy,1454.425318657287
Micronesia,1453.836783685438
Namibia,1453.4044049390957
Mauritania,1453.3476041623842
Dominican Republic,1452.776938733772
Indonesia,1445.4937165728013
Saint Pierre and Miquelon,1444.6650743266466
French Guiana,1444.5010909616683
Kyrgyzstan,1444.470967363953
Tanzania,1443.5769014093169
Gotland,1443.5031548371337
Raetia,1443.0172093119547
Saint Helena,1442.47933095521
Rwanda,1441.0938102334164
Botswana,1440.0775793736157
Cuba,1435.2201363406664
Armenia,1434.9819375170694
Niger,1434.7784984825535
Chagos Islands,1433.3936994292362
Kazakhstan,1433.1949826434147
Darfur,1432.8366766065678
Estonia,1429.393823169403
Orkney,1428.0427560075204
Wallis Islands and Futuna,1425.952900406808
Barawa,1425.9056832189874
Turkmenistan,1424.2531265322614
Hitra,1424.0913203636273
